variant,Totalvalue,Vrijstand,waterPieces,waterarea
60,24971691.72,425.13632887922154,4,"[4717, 11994, 521, 1968]"
40,18627508.47,427.81016514762234,1,[19200]
20,11363586.89,343.9237712842572,1,[19200]
60,25264830.3,441.10003435806476,4,"[4254, 5484, 3261, 6201]"
40,18350557.29,398.4236596587959,3,"[19140, 29, 31]"
20,11347732.049999999,347.46860504839424,4,"[11189, 511, 3868, 3632]"
