variant,Totalvalue,Vrijstand,waterPieces,waterarea
60,23129988.05,282.09974260745514,4,"[15493, 1490, 382, 1835]"
40,16145014.670000002,232.1183022903114,2,"[11210, 7990]"
20,8365282.74,142.8749277537728,2,"[14680, 4520]"
60,23094030.98,268.3688030682044,1,[19200]
40,15968044.24,226.66495266174255,3,"[6972, 6453, 5775]"
20,8969939.959999999,171.34606067792998,3,"[5127, 1431, 12642]"
