variant,Totalvalue,Vrijstand,waterPieces,waterarea
40,18478086.0,371.13474062939355,1,[19200]
20,11391386.549999999,359.8732808111995,3,"[12961, 4473, 1766]"
60,25847308.86,424.76794432013594,4,"[18633, 15, 110, 442]"
40,18596161.34,387.7514606723802,3,"[7544, 1280, 10376]"
20,10456856.829999998,295.17155860440096,3,"[13850, 4601, 749]"
60,25560211.279999997,439.49643502562526,4,"[2399, 13473, 600, 2728]"
40,18475405.84,384.1585919094111,1,[19200]
20,11288523.409999998,330.0713624224636,4,"[6452, 3964, 8080, 704]"
60,25467782.65,418.2004998279317,2,"[8141, 11059]"
40,18374403.309999995,389.6060872984176,2,"[9113, 10087]"
20,11309986.23,332.34049436653294,2,"[7725, 11475]"
60,25162593.12,429.5910454154401,2,"[7513, 11687]"
40,18466396.580000002,396.08864266471005,3,"[7670, 2335, 9195]"
20,11009143.34,337.23489431186897,4,"[17317, 1839, 18, 26]"
60,25155862.29,403.8897150741084,2,"[17016, 2184]"
40,18235562.380000003,379.7574878350646,3,"[4131, 7345, 7724]"
20,10962664.870000001,325.55750012150685,4,"[9310, 5394, 2286, 2210]"
60,25240400.7,409.76847527377515,3,"[7077, 7573, 4550]"
40,18744229.12,403.05626587342624,2,"[17204, 1996]"
20,11170050.620000001,341.778596406877,3,"[9934, 4323, 4943]"
60,25186433.69,392.294132471519,2,"[16848, 2352]"
40,18226797.499999996,364.4409303943823,2,"[12781, 6419]"
20,11145993.700000001,298.6989062663379,2,"[17212, 1988]"
60,25105849.310000002,406.784175689249,1,[19200]
40,18601191.389999997,409.995460979956,4,"[649, 5528, 3757, 9266]"
20,11049489.519999998,310.0747984660556,4,"[9434, 3881, 4277, 1608]"
60,24917294.52,388.32029927053014,1,[19200]
40,18458492.909999996,400.15279584012785,3,"[4592, 4089, 10519]"
20,11161207.78,321.796601618629,2,"[5660, 13540]"
60,24916409.93,385.4939090925313,1,[19200]
40,18153373.310000002,361.7124436997178,3,"[742, 17273, 1185]"
20,11498265.7,328.3885438199983,1,[19200]
60,24999328.96,385.91771183379586,3,"[3150, 2844, 13206]"
40,18357222.970000003,397.55210810408755,4,"[5970, 3249, 2144, 7837]"
20,10999464.49,313.09091797364135,3,"[17577, 152, 1471]"
60,25081622.53,385.11769203083566,3,"[18933, 177, 90]"
40,18454875.17,387.5666872912492,2,"[10115, 9085]"
20,11200597.89,320.3861282024247,4,"[2705, 7349, 1229, 7917]"
60,25082387.11,389.85849818676553,2,"[13835, 5365]"
40,18844685.23,393.2285407772977,3,"[14107, 1131, 3962]"
20,11304933.57,308.3568053754462,1,[19200]
60,25094168.88,399.3441306640818,3,"[7682, 5148, 6370]"
40,18526609.07,402.70398410998746,1,[19200]
20,11513717.639999999,301.869489857901,3,"[14513, 1730, 2957]"
60,25264247.01,405.9142648536559,4,"[13479, 4834, 173, 714]"
40,18542387.009999998,381.3298297702471,1,[19200]
20,11358255.85,318.7532234460808,3,"[17978, 671, 551]"
60,25397568.830000002,419.8134703154313,3,"[11511, 7327, 362]"
40,18633013.44,388.31572503061136,2,"[10966, 8234]"
20,10336376.99,291.1141594068181,1,[19200]
60,25476148.16,423.39846537325417,2,"[508, 18692]"
40,18795826.94,371.6620476719379,4,"[15649, 2576, 453, 522]"
20,11032847.35,336.2002747232013,1,[19200]
60,25207818.619999997,425.652399906686,2,"[8262, 10938]"
40,18562379.32,410.7533080173097,2,"[4601, 14599]"
20,10285643.89,269.9540271768318,3,"[7178, 9298, 2724]"
60,25153161.41,400.86566223386416,3,"[8396, 4927, 5877]"
40,18361028.01,399.2913307759209,4,"[86, 8049, 4466, 6599]"
20,11569239.84,318.74685681625135,3,"[2903, 4963, 11334]"
60,24894512.65,394.5704883837708,1,[19200]
40,18395722.900000002,384.42373122059064,2,"[19073, 127]"
20,10715995.809999999,329.10625780296607,2,"[12914, 6286]"
60,25077581.66,390.8490890352285,3,"[13524, 905, 4771]"
40,18462469.12,377.97892584680017,2,"[9713, 9487]"
20,11069688.32,318.31803029727206,4,"[9211, 9021, 117, 851]"
60,25517167.180000003,420.925983242503,4,"[1884, 13885, 454, 2977]"
40,18434134.11,385.82548013268513,3,"[389, 17158, 1653]"
20,10631183.270000001,299.90675987915847,1,[19200]
60,24917949.49,404.7409093862162,1,[19200]
40,19029530.470000003,410.6833493943169,2,"[5192, 14008]"
20,11347824.879999999,347.6513990408949,4,"[11055, 3877, 1689, 2579]"
60,24913190.960000005,379.0604335008475,1,[19200]
40,18424844.41,369.72135486241046,3,"[18053, 541, 606]"
20,10707722.57,301.7772463829918,1,[19200]
60,25245103.2,409.4262728613463,1,[19200]
40,18371846.860000003,362.2551195694771,1,[19200]
20,11329471.9,347.80917851618574,3,"[13068, 5538, 594]"
60,25166199.310000002,390.38578272556697,4,"[5458, 6126, 4728, 2888]"
40,18111314.65,370.1304058575922,4,"[8159, 290, 2260, 8491]"
20,11747998.59,332.4174646822437,4,"[14436, 3738, 311, 715]"
60,25330443.63,421.27035063450455,4,"[692, 5425, 9546, 3537]"
40,18722002.83,389.53646779453504,1,[19200]
20,10968552.11,277.5838725791752,2,"[10326, 8874]"
60,25031940.12,390.3365726989195,4,"[12046, 1033, 3134, 2987]"
40,18710116.689999998,394.59717668721623,4,"[4925, 3157, 1265, 9853]"
20,11358354.77,301.922766401813,4,"[3649, 12424, 1497, 1630]"
60,25562855.94,427.62830519711207,2,"[8393, 10807]"
40,18390096.29,377.61500627897806,3,"[1472, 13584, 4144]"
20,11511080.19,320.4264429386326,2,"[16376, 2824]"
60,25318194.720000003,433.68428360806286,1,[19200]
40,18524130.68,387.0911765617068,2,"[11141, 8059]"
20,10730304.030000001,281.5166617902899,2,"[7039, 12161]"
60,24951188.07,377.69347305830615,2,"[2522, 16678]"
40,18440321.23,387.9330343736592,2,"[4602, 14598]"
20,11032310.07,315.5865569100713,1,[19200]
60,25669493.22,428.3964394198562,4,"[8646, 752, 617, 9185]"
40,18402395.03,399.553821055381,1,[19200]
20,11010749.79,323.06648406766976,3,"[11717, 5449, 2034]"
60,25251219.830000002,427.9062555867675,1,[19200]
40,18951161.5,380.63722024589487,4,"[9899, 7562, 1709, 30]"
20,11061190.219999999,312.87703355313977,3,"[17286, 583, 1331]"
60,25077158.799999997,392.2661027839362,2,"[18855, 345]"
40,18567044.53,399.39685501819025,2,"[6317, 12883]"
20,11083810.33,322.1258655068457,1,[19200]
60,25044401.53,406.01423388543543,2,"[12219, 6981]"
40,18630282.98,402.9743048219958,4,"[7561, 1271, 8056, 2312]"
20,11427020.620000001,340.32812614346875,2,"[2678, 16522]"
60,25107974.91,421.54305072718864,3,"[9922, 6644, 2634]"
40,18202390.03,374.2723709753677,2,"[10989, 8211]"
20,11184861.100000001,327.2905461645753,3,"[17469, 342, 1389]"
60,25023481.959999997,400.4876616910507,3,"[10698, 5184, 3318]"
40,18642050.06,386.68450631338453,2,"[7333, 11867]"
20,11238144.45,328.57555987208,3,"[4268, 14724, 208]"
60,25230429.720000003,412.8779532802623,4,"[2115, 6901, 244, 9940]"
40,18706039.83,390.1834151662159,4,"[15632, 1972, 450, 1146]"
20,11151957.06,308.4866213096331,1,[19200]
60,24835293.91,384.48473813900625,3,"[1058, 10298, 7844]"
40,18628452.37,412.291673014085,4,"[257, 17380, 88, 1475]"
20,11457847.489999998,345.9201736441937,2,"[9854, 9346]"
60,24973833.539999995,404.77181492638755,1,[19200]
40,18500357.47,394.0890294824237,1,[19200]
20,11089042.690000001,349.6745836386349,3,"[10973, 3289, 4938]"
60,25562413.01,420.21186490837454,4,"[4347, 9991, 840, 4022]"
40,18468670.5,372.82417905069724,3,"[16645, 1980, 575]"
20,10834451.06,291.3650560804883,2,"[12559, 6641]"
60,25010189.19,390.89921140125495,4,"[11715, 2027, 191, 5267]"
40,18668647.18,386.5096118312577,2,"[6627, 12573]"
20,11423564.110000001,329.40149462370425,1,[19200]
60,25368860.77,414.28902301072924,4,"[6928, 10432, 1677, 163]"
40,18411056.42,390.43865434450396,4,"[13933, 4583, 611, 73]"
20,10706865.73,323.9605164633216,2,"[4035, 15165]"
60,25297715.46,393.64978189075,1,[19200]
40,18397484.54,392.7072047207633,2,"[4343, 14857]"
20,11347285.56,294.80067334147344,4,"[8151, 10128, 828, 93]"
60,25299811.75,432.93541419151353,3,"[11651, 636, 6913]"
40,18413948.959999997,402.03354544296866,1,[19200]
20,11489304.67,319.05947264770174,3,"[2531, 2690, 13979]"
60,25294298.389999997,402.6332492538065,1,[19200]
40,18863524.88,401.2727165566455,4,"[3143, 15407, 533, 117]"
20,11250100.06,312.0050729693662,4,"[18733, 134, 177, 156]"
60,25382151.830000002,411.05159974174023,3,"[13742, 3103, 2355]"
40,18137385.659999996,362.74690101589454,3,"[16863, 456, 1881]"
20,10810293.000000002,309.58658062044503,2,"[766, 18434]"
60,25538897.73,421.67615987180176,2,"[15690, 3510]"
40,18811969.06,387.2447993622999,3,"[5921, 3321, 9958]"
20,10901083.58,322.0893076682957,3,"[16343, 468, 2389]"
60,25290547.24,427.8905597282136,1,[19200]
40,18338937.25,383.75226480833027,2,"[17515, 1685]"
20,10911591.56,313.9611405989044,3,"[9452, 4490, 5258]"
60,25006067.92,397.57673928696704,3,"[18456, 479, 265]"
40,18268440.88,381.26574821085444,3,"[7045, 9439, 2716]"
20,10885816.71,312.6300230963608,2,"[14488, 4712]"
60,25347351.39,411.54385159062133,4,"[13580, 2812, 85, 2723]"
40,18583144.400000002,388.3936735614141,3,"[13006, 3493, 2701]"
20,11207170.89,342.9010581714358,2,"[11795, 7405]"
60,25059535.759999998,373.81380816919915,2,"[5255, 13945]"
40,18860132.29,400.65159984016,4,"[4632, 6653, 1365, 6550]"
20,10904120.69,307.1627653996414,2,"[14359, 4841]"
60,25141554.97,393.64578645817534,3,"[3257, 381, 15562]"
40,17887523.25,360.5931473184693,2,"[13488, 5712]"
20,11464799.1,345.5863206461307,2,"[16409, 2791]"
60,25381866.13,422.01835535705374,1,[19200]
40,18449486.75,391.74690619865066,4,"[9223, 3159, 4640, 2178]"
20,11412871.23,331.6394258552508,3,"[10638, 3249, 5313]"
60,25449045.87,399.6168721035828,3,"[13919, 158, 5123]"
