variant,Totalvalue,Vrijstand,waterPieces,waterarea
60,23396322.36,292.5614986,2,"[51, 19149]"
60,23394895.36,269.5488075,3,"[16500, 1731, 969]"
60,23394315.44,278.7819712,3,"[7452, 8634, 3114]"
60,23391982.92,281.3960269,2,"[12031, 7169]"
60,23391948.54,295.8827068,3,"[8840, 417, 9943]"
60,23391805.29,290.406269,4,"[17746, 262, 504, 688]"
60,23391512.06,292.1756184,2,"[11541, 7659]"
60,23391203.14,285.5191045,2,"[16529, 2671]"
60,23390613.77,282.2503036,1,[19200]
60,23389895.55,295.4012368,3,"[5328, 7651, 6221]"
60,23388143.36,284.1536005,1,[19200]
60,23387846.33,289.0434306,4,"[16603, 485, 1724, 388]"
60,23384965.2,267.8183403,4,"[17549, 131, 997, 523]"
60,23383782.45,281.2055771,1,[19200]
60,23383041.12,290.7522844,2,"[10324, 8876]"
60,23381970.69,284.0479003,2,"[13769, 5431]"
60,23381691.04,290.5377578,2,"[5986, 13214]"
60,23381134.04,287.4323146,2,"[9207, 9993]"
60,23380112.59,280.8737486,2,"[11145, 8055]"
60,23380068.52,281.3980665,1,[19200]
60,23379383.17,287.2966219,3,"[18715, 18, 467]"
60,23378099.58,282.6801217,2,"[4002, 15198]"
60,23377809,280.6575519,2,"[1981, 17219]"
60,23377407.39,281.9248899,2,"[8656, 10544]"
60,23377273.47,283.4142511,2,"[6041, 13159]"
60,23375067.33,289.8368602,1,[19200]
60,23373246.57,265.3789144,3,"[12991, 4977, 1232]"
60,23372680.82,290.7371169,4,"[11280, 165, 500, 7255]"
60,23372366.67,282.2652601,1,[19200]
60,23371993.97,299.0991854,2,"[8891, 10309]"
60,23370870,279.2189013,2,"[14006, 5194]"
60,23368566.66,275.6483762,4,"[3982, 3646, 11371, 201]"
60,23366202.55,280.7273917,1,[19200]
60,23365695.53,281.161857,2,"[13183, 6017]"
60,23364455.02,275.323223,2,"[18904, 296]"
60,23364139.71,276.0025906,4,"[7395, 11236, 31, 538]"
60,23363813.95,272.7200803,4,"[9149, 5370, 1272, 3409]"
60,23362737.89,290.6459739,1,[19200]
60,23362426.05,280.3162508,4,"[75, 8532, 6859, 3734]"
60,23362203.47,280.627395,4,"[8044, 8978, 158, 2020]"
60,23362028.59,300.8625655,4,"[1245, 7134, 1869, 8952]"
